Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0618981	uin-surakarta	0	1	LastDelay	0.0613981	61398.1	1	3
0.0618981	uin-surakarta	0	1	FullDelay	0.0613981	61398.1	1	3
0.0623981	uin-surakarta	0	2	LastDelay	0.0613981	61398.1	1	3
0.0623981	uin-surakarta	0	2	FullDelay	0.0613981	61398.1	1	3
0.0631312	uin-surakarta	0	3	LastDelay	0.0616312	61631.2	1	3
0.0631312	uin-surakarta	0	3	FullDelay	0.0616312	61631.2	1	3
0.0638981	uin-surakarta	0	5	LastDelay	0.0613981	61398.1	1	3
0.0638981	uin-surakarta	0	5	FullDelay	0.0613981	61398.1	1	3
0.0643644	uin-surakarta	0	4	LastDelay	0.0623644	62364.4	1	3
0.0643644	uin-surakarta	0	4	FullDelay	0.0623644	62364.4	1	3
0.0653981	uin-surakarta	0	8	LastDelay	0.0613981	61398.1	1	3
0.0653981	uin-surakarta	0	8	FullDelay	0.0613981	61398.1	1	3
0.0655975	uin-surakarta	0	6	LastDelay	0.0625975	62597.5	1	3
0.0655975	uin-surakarta	0	6	FullDelay	0.0625975	62597.5	1	3
0.0666312	uin-surakarta	0	10	LastDelay	0.0616312	61631.2	1	3
0.0666312	uin-surakarta	0	10	FullDelay	0.0616312	61631.2	1	3
0.0668307	uin-surakarta	0	7	LastDelay	0.0633307	63330.7	1	3
0.0668307	uin-surakarta	0	7	FullDelay	0.0633307	63330.7	1	3
0.0678644	uin-surakarta	0	11	LastDelay	0.0623644	62364.4	1	3
0.0678644	uin-surakarta	0	11	FullDelay	0.0623644	62364.4	1	3
0.0680638	uin-surakarta	0	9	LastDelay	0.0635638	63563.8	1	3
0.0680638	uin-surakarta	0	9	FullDelay	0.0635638	63563.8	1	3
0.0690975	uin-surakarta	0	13	LastDelay	0.0625975	62597.5	1	3
0.0690975	uin-surakarta	0	13	FullDelay	0.0625975	62597.5	1	3
0.069297	uin-surakarta	0	12	LastDelay	0.063297	63297	1	3
0.069297	uin-surakarta	0	12	FullDelay	0.063297	63297	1	3
0.0703307	uin-surakarta	0	14	LastDelay	0.0633307	63330.7	1	3
0.0703307	uin-surakarta	0	14	FullDelay	0.0633307	63330.7	1	3
0.0705301	uin-surakarta	0	15	LastDelay	0.0630301	63030.1	1	3
0.0705301	uin-surakarta	0	15	FullDelay	0.0630301	63030.1	1	3
0.0717632	uin-surakarta	0	16	LastDelay	0.0637632	63763.2	1	3
0.0717632	uin-surakarta	0	16	FullDelay	0.0637632	63763.2	1	3
0.0718981	uin-surakarta	0	21	LastDelay	0.0613981	61398.1	1	3
0.0718981	uin-surakarta	0	21	FullDelay	0.0613981	61398.1	1	3
0.0729964	uin-surakarta	0	17	LastDelay	0.0644964	64496.4	1	3
0.0729964	uin-surakarta	0	17	FullDelay	0.0644964	64496.4	1	3
0.0742295	uin-surakarta	0	18	LastDelay	0.0652295	65229.5	1	3
0.0742295	uin-surakarta	0	18	FullDelay	0.0652295	65229.5	1	3
0.0743981	uin-surakarta	0	26	LastDelay	0.0613981	61398.1	1	3
0.0743981	uin-surakarta	0	26	FullDelay	0.0613981	61398.1	1	3
0.0754627	uin-surakarta	0	19	LastDelay	0.0659627	65962.7	1	3
0.0754627	uin-surakarta	0	19	FullDelay	0.0659627	65962.7	1	3
0.0756312	uin-surakarta	0	27	LastDelay	0.0621312	62131.2	1	3
0.0756312	uin-surakarta	0	27	FullDelay	0.0621312	62131.2	1	3
0.0766958	uin-surakarta	0	20	LastDelay	0.0666958	66695.8	1	3
0.0766958	uin-surakarta	0	20	FullDelay	0.0666958	66695.8	1	3
0.0768644	uin-surakarta	0	30	LastDelay	0.0618644	61864.4	1	3
0.0768644	uin-surakarta	0	30	FullDelay	0.0618644	61864.4	1	3
0.0779289	uin-surakarta	0	22	LastDelay	0.0669289	66928.9	1	3
0.0779289	uin-surakarta	0	22	FullDelay	0.0669289	66928.9	1	3
0.0780975	uin-surakarta	0	31	LastDelay	0.0625975	62597.5	1	3
0.0780975	uin-surakarta	0	31	FullDelay	0.0625975	62597.5	1	3
0.0791621	uin-surakarta	0	23	LastDelay	0.0676621	67662.1	1	3
0.0791621	uin-surakarta	0	23	FullDelay	0.0676621	67662.1	1	3
0.0793307	uin-surakarta	0	32	LastDelay	0.0633307	63330.7	1	3
0.0793307	uin-surakarta	0	32	FullDelay	0.0633307	63330.7	1	3
0.0803952	uin-surakarta	0	24	LastDelay	0.0683952	68395.2	1	3
0.0803952	uin-surakarta	0	24	FullDelay	0.0683952	68395.2	1	3
0.0805638	uin-surakarta	0	33	LastDelay	0.0640638	64063.8	1	3
0.0805638	uin-surakarta	0	33	FullDelay	0.0640638	64063.8	1	3
0.0816284	uin-surakarta	0	25	LastDelay	0.0691284	69128.4	1	3
0.0816284	uin-surakarta	0	25	FullDelay	0.0691284	69128.4	1	3
0.081797	uin-surakarta	0	34	LastDelay	0.064797	64797	1	3
