Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.103797	uin-surakarta	0	41	FullDelay	0.062797	62797	1	3
0.104398	uin-surakarta	0	43	LastDelay	0.0613981	61398.1	1	3
0.104398	uin-surakarta	0	43	FullDelay	0.0613981	61398.1	1	3
0.10503	uin-surakarta	0	42	LastDelay	0.0630301	63030.1	1	3
0.10503	uin-surakarta	0	42	FullDelay	0.0630301	63030.1	1	3
0.105631	uin-surakarta	0	44	LastDelay	0.0616312	61631.2	1	3
0.105631	uin-surakarta	0	44	FullDelay	0.0616312	61631.2	1	3
0.106398	uin-surakarta	0	45	LastDelay	0.0613981	61398.1	1	3
0.106398	uin-surakarta	0	45	FullDelay	0.0613981	61398.1	1	3
0.107398	uin-surakarta	0	46	LastDelay	0.0613981	61398.1	1	3
0.107398	uin-surakarta	0	46	FullDelay	0.0613981	61398.1	1	3
0.108398	uin-surakarta	0	47	LastDelay	0.0613981	61398.1	1	3
0.108398	uin-surakarta	0	47	FullDelay	0.0613981	61398.1	1	3
0.109631	uin-surakarta	0	48	LastDelay	0.0616312	61631.2	1	3
0.109631	uin-surakarta	0	48	FullDelay	0.0616312	61631.2	1	3
0.110864	uin-surakarta	0	49	LastDelay	0.0618644	61864.4	1	3
0.110864	uin-surakarta	0	49	FullDelay	0.0618644	61864.4	1	3
0.111398	uin-surakarta	0	50	LastDelay	0.0613981	61398.1	1	3
0.111398	uin-surakarta	0	50	FullDelay	0.0613981	61398.1	1	3
0.112398	uin-surakarta	0	51	LastDelay	0.0613981	61398.1	1	3
0.112398	uin-surakarta	0	51	FullDelay	0.0613981	61398.1	1	3
0.113631	uin-surakarta	0	52	LastDelay	0.0616312	61631.2	1	3
0.113631	uin-surakarta	0	52	FullDelay	0.0616312	61631.2	1	3
0.114864	uin-surakarta	0	53	LastDelay	0.0618644	61864.4	1	3
0.114864	uin-surakarta	0	53	FullDelay	0.0618644	61864.4	1	3
0.115398	uin-surakarta	0	54	LastDelay	0.0613981	61398.1	1	3
0.115398	uin-surakarta	0	54	FullDelay	0.0613981	61398.1	1	3
0.116631	uin-surakarta	0	55	LastDelay	0.0616312	61631.2	1	3
0.116631	uin-surakarta	0	55	FullDelay	0.0616312	61631.2	1	3
0.117864	uin-surakarta	0	56	LastDelay	0.0618644	61864.4	1	3
0.117864	uin-surakarta	0	56	FullDelay	0.0618644	61864.4	1	3
0.118398	uin-surakarta	0	57	LastDelay	0.0613981	61398.1	1	3
0.118398	uin-surakarta	0	57	FullDelay	0.0613981	61398.1	1	3
0.119398	uin-surakarta	0	58	LastDelay	0.0613981	61398.1	1	3
0.119398	uin-surakarta	0	58	FullDelay	0.0613981	61398.1	1	3
0.120631	uin-surakarta	0	59	LastDelay	0.0616312	61631.2	1	3
0.120631	uin-surakarta	0	59	FullDelay	0.0616312	61631.2	1	3
0.121864	uin-surakarta	0	60	LastDelay	0.0618644	61864.4	1	3
0.121864	uin-surakarta	0	60	FullDelay	0.0618644	61864.4	1	3
0.122398	uin-surakarta	0	61	LastDelay	0.0613981	61398.1	1	3
0.122398	uin-surakarta	0	61	FullDelay	0.0613981	61398.1	1	3
0.123631	uin-surakarta	0	62	LastDelay	0.0616312	61631.2	1	3
0.123631	uin-surakarta	0	62	FullDelay	0.0616312	61631.2	1	3
0.124398	uin-surakarta	0	63	LastDelay	0.0613981	61398.1	1	3
0.124398	uin-surakarta	0	63	FullDelay	0.0613981	61398.1	1	3
0.125631	uin-surakarta	0	64	LastDelay	0.0616312	61631.2	1	3
0.125631	uin-surakarta	0	64	FullDelay	0.0616312	61631.2	1	3
0.126864	uin-surakarta	0	65	LastDelay	0.0618644	61864.4	1	3
0.126864	uin-surakarta	0	65	FullDelay	0.0618644	61864.4	1	3
0.127398	uin-surakarta	0	66	LastDelay	0.0613981	61398.1	1	3
0.127398	uin-surakarta	0	66	FullDelay	0.0613981	61398.1	1	3
0.128398	uin-surakarta	0	67	LastDelay	0.0613981	61398.1	1	3
0.128398	uin-surakarta	0	67	FullDelay	0.0613981	61398.1	1	3
0.129631	uin-surakarta	0	68	LastDelay	0.0616312	61631.2	1	3
0.129631	uin-surakarta	0	68	FullDelay	0.0616312	61631.2	1	3
0.130864	uin-surakarta	0	69	LastDelay	0.0618644	61864.4	1	3
0.130864	uin-surakarta	0	69	FullDelay	0.0618644	61864.4	1	3
0.131398	uin-surakarta	0	70	LastDelay	0.0613981	61398.1	1	3
0.131398	uin-surakarta	0	70	FullDelay	0.0613981	61398.1	1	3
0.132631	uin-surakarta	0	71	LastDelay	0.0616312	61631.2	1	3
0.132631	uin-surakarta	0	71	FullDelay	0.0616312	61631.2	1	3
0.133864	uin-surakarta	0	72	LastDelay	0.0618644	61864.4	1	3
0.133864	uin-surakarta	0	72	FullDelay	0.0618644	61864.4	1	3
0.135098	uin-surakarta	0	73	LastDelay	0.0620975	62097.5	1	3
0.135098	uin-surakarta	0	73	FullDelay	0.0620975	62097.5	1	3
0.135398	uin-surakarta	0	74	LastDelay	0.0613981	61398.1	1	3
0.135398	uin-surakarta	0	74	FullDelay	0.0613981	61398.1	1	3
0.136631	uin-surakarta	0	75	LastDelay	0.0616312	61631.2	1	3
0.136631	uin-surakarta	0	75	FullDelay	0.0616312	61631.2	1	3
0.137398	uin-surakarta	0	76	LastDelay	0.0613981	61398.1	1	3
0.137398	uin-surakarta	0	76	FullDelay	0.0613981	61398.1	1	3
0.138631	uin-surakarta	0	77	LastDelay	0.0616312	61631.2	1	3
0.138631	uin-surakarta	0	77	FullDelay	0.0616312	61631.2	1	3
0.139398	uin-surakarta	0	78	LastDelay	0.0613981	61398.1	1	3
0.139398	uin-surakarta	0	78	FullDelay	0.0613981	61398.1	1	3
0.140631	uin-surakarta	0	79	LastDelay	0.0616312	61631.2	1	3
0.140631	uin-surakarta	0	79	FullDelay	0.0616312	61631.2	1	3
0.141398	uin-surakarta	0	80	LastDelay	0.0613981	61398.1	1	3
0.141398	uin-surakarta	0	80	FullDelay	0.0613981	61398.1	1	3
0.142398	uin-surakarta	0	81	LastDelay	0.0613981	61398.1	1	3
0.142398	uin-surakarta	0	81	FullDelay	0.0613981	61398.1	1	3
0.143631	uin-surakarta	0	82	LastDelay	0.0616312	61631.2	1	3
0.143631	uin-surakarta	0	82	FullDelay	0.0616312	61631.2	1	3
0.144864	uin-surakarta	0	83	LastDelay	0.0618644	61864.4	1	3
0.144864	uin-surakarta	0	83	FullDelay	0.0618644	61864.4	1	3
0.146098	uin-surakarta	0	84	LastDelay	0.0620975	62097.5	1	3
0.146098	uin-surakarta	0	84	FullDelay	0.0620975	62097.5	1	3
0.146398	uin-surakarta	0	85	LastDelay	0.0613981	61398.1	1	3
0.146398	uin-surakarta	0	85	FullDelay	0.0613981	61398.1	1	3
0.147398	uin-surakarta	0	86	LastDelay	0.0613981	61398.1	1	3
0.147398	uin-surakarta	0	86	FullDelay	0.0613981	61398.1	1	3
0.148398	uin-surakarta	0	87	LastDelay	0.0613981	61398.1	1	3
0.148398	uin-surakarta	0	87	FullDelay	0.0613981	61398.1	1	3
0.149398	uin-surakarta	0	88	LastDelay	0.0613981	61398.1	1	3
0.149398	uin-surakarta	0	88	FullDelay	0.0613981	61398.1	1	3
0.150631	uin-surakarta	0	89	LastDelay	0.0616312	61631.2	1	3
0.150631	uin-surakarta	0	89	FullDelay	0.0616312	61631.2	1	3
0.151864	uin-surakarta	0	90	LastDelay	0.0618644	61864.4	1	3
0.151864	uin-surakarta	0	90	FullDelay	0.0618644	61864.4	1	3
0.153098	uin-surakarta	0	91	LastDelay	0.0620975	62097.5	1	3
0.153098	uin-surakarta	0	91	FullDelay	0.0620975	62097.5	1	3
0.154331	uin-surakarta	0	92	LastDelay	0.0623307	62330.7	1	3
0.154331	uin-surakarta	0	92	FullDelay	0.0623307	62330.7	1	3
0.155564	uin-surakarta	0	93	LastDelay	0.0625638	62563.8	1	3
0.155564	uin-surakarta	0	93	FullDelay	0.0625638	62563.8	1	3
0.156398	uin-surakarta	0	95	LastDelay	0.0613981	61398.1	1	3
0.156398	uin-surakarta	0	95	FullDelay	0.0613981	61398.1	1	3
0.156797	uin-surakarta	0	94	LastDelay	0.062797	62797	1	3
0.156797	uin-surakarta	0	94	FullDelay	0.062797	62797	1	3
0.157631	uin-surakarta	0	96	LastDelay	0.0616312	61631.2	1	3
0.157631	uin-surakarta	0	96	FullDelay	0.0616312	61631.2	1	3
0.158864	uin-surakarta	0	97	LastDelay	0.0618644	61864.4	1	3
0.158864	uin-surakarta	0	97	FullDelay	0.0618644	61864.4	1	3
0.160098	uin-surakarta	0	98	LastDelay	0.0620975	62097.5	1	3
0.160098	uin-surakarta	0	98	FullDelay	0.0620975	62097.5	1	3
0.161331	uin-surakarta	0	99	LastDelay	0.0623307	62330.7	1	3
0.161331	uin-surakarta	0	99	FullDelay	0.0623307	62330.7	1	3
0.162398	uin-surakarta	0	101	LastDelay	0.0613981	61398.1	1	3
0.162398	uin-surakarta	0	101	FullDelay	0.0613981	61398.1	1	3
0.162564	uin-surakarta	0	100	LastDelay	0.0625638	62563.8	1	3
0.162564	uin-surakarta	0	100	FullDelay	0.0625638	62563.8	1	3
0.163797	uin-surakarta	0	102	LastDelay	0.061797	61797	1	3
0.163797	uin-surakarta	0	102	FullDelay	0.061797	61797	1	3
0.16503	uin-surakarta	0	103	LastDelay	0.0620301	62030.1	1	3
0.16503	uin-surakarta	0	103	FullDelay	0.0620301	62030.1	1	3
0.165398	uin-surakarta	0	104	LastDelay	0.0613981	61398.1	1	3
0.165398	uin-surakarta	0	104	FullDelay	0.0613981	61398.1	1	3
0.166398	uin-surakarta	0	105	LastDelay	0.0613981	61398.1	1	3
0.166398	uin-surakarta	0	105	FullDelay	0.0613981	61398.1	1	3
0.167631	uin-surakarta	0	106	LastDelay	0.0616312	61631.2	1	3
0.167631	uin-surakarta	0	106	FullDelay	0.0616312	61631.2	1	3
0.168398	uin-surakarta	0	107	LastDelay	0.0613981	61398.1	1	3
0.168398	uin-surakarta	0	107	FullDelay	0.0613981	61398.1	1	3
0.169398	uin-surakarta	0	108	LastDelay	0.0613981	61398.1	1	3
0.169398	uin-surakarta	0	108	FullDelay	0.0613981	61398.1	1	3
0.170398	uin-surakarta	0	109	LastDelay	0.0613981	61398.1	1	3
0.170398	uin-surakarta	0	109	FullDelay	0.0613981	61398.1	1	3
0.171631	uin-surakarta	0	110	LastDelay	0.0616312	61631.2	1	3
0.171631	uin-surakarta	0	110	FullDelay	0.0616312	61631.2	1	3
0.172864	uin-surakarta	0	111	LastDelay	0.0618644	61864.4	1	3
0.172864	uin-surakarta	0	111	FullDelay	0.0618644	61864.4	1	3
0.173398	uin-surakarta	0	112	LastDelay	0.0613981	61398.1	1	3
