Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0624031	uin-yogyakarta	0	1	LastDelay	0.0614031	61403.1	1	3
0.0624031	uin-yogyakarta	0	1	FullDelay	0.0614031	61403.1	1	3
0.0624591	uin-surakarta	0	1	LastDelay	0.0614591	61459.1	1	3
0.0624591	uin-surakarta	0	1	FullDelay	0.0614591	61459.1	1	3
0.0636385	uin-yogyakarta	0	2	LastDelay	0.0616385	61638.5	1	3
0.0636385	uin-yogyakarta	0	2	FullDelay	0.0616385	61638.5	1	3
0.0636945	uin-surakarta	0	2	LastDelay	0.0616945	61694.5	1	3
0.0636945	uin-surakarta	0	2	FullDelay	0.0616945	61694.5	1	3
0.0648739	uin-yogyakarta	0	3	LastDelay	0.0618739	61873.9	1	3
0.0648739	uin-yogyakarta	0	3	FullDelay	0.0618739	61873.9	1	3
0.0649299	uin-surakarta	0	3	LastDelay	0.0619299	61929.9	1	3
0.0649299	uin-surakarta	0	3	FullDelay	0.0619299	61929.9	1	3
0.0661094	uin-yogyakarta	0	4	LastDelay	0.0621094	62109.4	1	3
0.0661094	uin-yogyakarta	0	4	FullDelay	0.0621094	62109.4	1	3
0.0661654	uin-surakarta	0	4	LastDelay	0.0621654	62165.4	1	3
0.0661654	uin-surakarta	0	4	FullDelay	0.0621654	62165.4	1	3
0.0673448	uin-yogyakarta	0	5	LastDelay	0.0623448	62344.8	1	3
0.0673448	uin-yogyakarta	0	5	FullDelay	0.0623448	62344.8	1	3
0.0674008	uin-surakarta	0	5	LastDelay	0.0624008	62400.8	1	3
0.0674008	uin-surakarta	0	5	FullDelay	0.0624008	62400.8	1	3
0.0685802	uin-yogyakarta	0	6	LastDelay	0.0625802	62580.2	1	3
0.0685802	uin-yogyakarta	0	6	FullDelay	0.0625802	62580.2	1	3
0.0686362	uin-surakarta	0	6	LastDelay	0.0626362	62636.2	1	3
0.0686362	uin-surakarta	0	6	FullDelay	0.0626362	62636.2	1	3
0.0698157	uin-yogyakarta	0	7	LastDelay	0.0628157	62815.7	1	3
0.0698157	uin-yogyakarta	0	7	FullDelay	0.0628157	62815.7	1	3
0.0698717	uin-surakarta	0	7	LastDelay	0.0628717	62871.7	1	3
0.0698717	uin-surakarta	0	7	FullDelay	0.0628717	62871.7	1	3
0.0710511	uin-yogyakarta	0	8	LastDelay	0.0630511	63051.1	1	3
0.0710511	uin-yogyakarta	0	8	FullDelay	0.0630511	63051.1	1	3
0.0711071	uin-surakarta	0	8	LastDelay	0.0631071	63107.1	1	3
0.0711071	uin-surakarta	0	8	FullDelay	0.0631071	63107.1	1	3
0.0722865	uin-yogyakarta	0	9	LastDelay	0.0632865	63286.5	1	3
0.0722865	uin-yogyakarta	0	9	FullDelay	0.0632865	63286.5	1	3
0.0723425	uin-surakarta	0	9	LastDelay	0.0633425	63342.5	1	3
0.0723425	uin-surakarta	0	9	FullDelay	0.0633425	63342.5	1	3
0.0735219	uin-yogyakarta	0	10	LastDelay	0.0635219	63521.9	1	3
0.0735219	uin-yogyakarta	0	10	FullDelay	0.0635219	63521.9	1	3
0.0735779	uin-surakarta	0	10	LastDelay	0.0635779	63577.9	1	3
0.0735779	uin-surakarta	0	10	FullDelay	0.0635779	63577.9	1	3
0.0747574	uin-yogyakarta	0	11	LastDelay	0.0637574	63757.4	1	3
0.0747574	uin-yogyakarta	0	11	FullDelay	0.0637574	63757.4	1	3
0.0748134	uin-surakarta	0	11	LastDelay	0.0638134	63813.4	1	3
0.0748134	uin-surakarta	0	11	FullDelay	0.0638134	63813.4	1	3
0.0759928	uin-yogyakarta	0	12	LastDelay	0.0639928	63992.8	1	3
0.0759928	uin-yogyakarta	0	12	FullDelay	0.0639928	63992.8	1	3
0.0760488	uin-surakarta	0	12	LastDelay	0.0640488	64048.8	1	3
0.0760488	uin-surakarta	0	12	FullDelay	0.0640488	64048.8	1	3
0.0772282	uin-yogyakarta	0	13	LastDelay	0.0642282	64228.2	1	3
