Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0620698	uin-yogyakarta	0	1	LastDelay	0.0614031	61403.1	1	3
0.0620698	uin-yogyakarta	0	1	FullDelay	0.0614031	61403.1	1	3
0.0621258	uin-surakarta	0	1	LastDelay	0.0614591	61459.1	1	3
0.0621258	uin-surakarta	0	1	FullDelay	0.0614591	61459.1	1	3
0.0633052	uin-yogyakarta	0	2	LastDelay	0.0619718	61971.8	1	3
0.0633052	uin-yogyakarta	0	2	FullDelay	0.0619718	61971.8	1	3
0.0633612	uin-surakarta	0	2	LastDelay	0.0620278	62027.8	1	3
0.0633612	uin-surakarta	0	2	FullDelay	0.0620278	62027.8	1	3
0.0645406	uin-yogyakarta	0	3	LastDelay	0.0625406	62540.6	1	3
0.0645406	uin-yogyakarta	0	3	FullDelay	0.0625406	62540.6	1	3
0.0645966	uin-surakarta	0	3	LastDelay	0.0625966	62596.6	1	3
0.0645966	uin-surakarta	0	3	FullDelay	0.0625966	62596.6	1	3
0.065776	uin-yogyakarta	0	4	LastDelay	0.0631094	63109.4	1	3
0.065776	uin-yogyakarta	0	4	FullDelay	0.0631094	63109.4	1	3
0.065832	uin-surakarta	0	4	LastDelay	0.0631654	63165.4	1	3
0.065832	uin-surakarta	0	4	FullDelay	0.0631654	63165.4	1	3
0.0670115	uin-yogyakarta	0	5	LastDelay	0.0636781	63678.1	1	3
0.0670115	uin-yogyakarta	0	5	FullDelay	0.0636781	63678.1	1	3
0.0670675	uin-surakarta	0	5	LastDelay	0.0637341	63734.1	1	3
0.0670675	uin-surakarta	0	5	FullDelay	0.0637341	63734.1	1	3
0.0682469	uin-yogyakarta	0	6	LastDelay	0.0642469	64246.9	1	3
0.0682469	uin-yogyakarta	0	6	FullDelay	0.0642469	64246.9	1	3
0.0683029	uin-surakarta	0	6	LastDelay	0.0643029	64302.9	1	3
0.0683029	uin-surakarta	0	6	FullDelay	0.0643029	64302.9	1	3
