router

# Area 1 (Sumatera)
#-----------------------------------------------------------------------------|
# node  	comment	(y)latitude	(x)longitude
#-----------------------------------------------------------------------------|
#-----------------------------------------------------------------------------|
# srcNode	dstNode     	bandwidth   metric	delay	queue
#-----------------------------------------------------------------------------|
sabang	aceh	2048Mbps	1	1.0ms	0
aceh	lhokseumawe	2048Mbps	1	1.0ms	0
aceh	blangpidie	2048Mbps	1	1.0ms	0
blangpidie	simeuleu	2048Mbps	1	1.0ms	0
simeuleu	gunungsitoli	2048Mbps	1	1.0ms	0
blangpidie	singkil	2048Mbps	1	1.0ms	0
lhokseumawe	medan	2048Mbps	1	1.0ms	0
medan	blangpidi	2048Mbps	1	1.0ms	0
medan	singkil	2048Mbps	1	1.0ms	0
singkil	gunungsitoli	2048Mbps	1	1.0ms	0
gunungsitoli	mentawai	2048Mbps	1	1.0ms	0
singkil	padang	2048Mbps	1	1.0ms	0
padang	mentawai	2048Mbps	1	1.0ms	0
padang	pekanbaru	2048Mbps	1	1.0ms	0
padang	bengkulu	2048Mbps	1	1.0ms	0
pekanbaru	medan	2048Mbps	1	1.0ms	0
pekanbaru	bengkalis	2048Mbps	1	1.0ms	0
pekanbaru	palembang	2048Mbps	1	1.0ms	0
bengkalis	batam	2048Mbps	1	1.0ms	0
bengkalis	singapore	2048Mbps	1	1.0ms	0
batam	singapore	2048Mbps	1	1.0ms	0
batam	kepmeranti	2048Mbps	1	1.0ms	0
batam	tarempa	2048Mbps	1	1.0ms	0
batam	pontianak	2048Mbps	1	1.0ms	0
batam	lingga	2048Mbps	1	1.0ms	0
batam	pulaubangka	2048Mbps	1	1.0ms	0
tarempa	natuna	2048Mbps	1	1.0ms	0
pekanbaru	jambi	2048Mbps	1	1.0ms	0
jambi	palembang	2048Mbps	1	1.0ms	0
palembang	baturaja	2048Mbps	1	1.0ms	0
palembang	pulaubangka	2048Mbps	1	1.0ms	0
pulaubangka	jakarta	2048Mbps	1	1.0ms	0
baturaja	lampung	2048Mbps	1	1.0ms	0
baturaja	pagaralam	2048Mbps	1	1.0ms	0
pagaralam	bengkulu	2048Mbps	1	1.0ms	0
lampung	bengkulu	2048Mbps	1	1.0ms	0

#-----------------------------------------------------------------------------|




